"method","n.dims","fn","fp"
"CCA-LDA",2,5,11
"CCA-LDA",3,4,9
"CCA-LDA",4,4,7
"CCA-LDA",5,4,7
"CCA-LDA",6,4,4
"CCA-LDA",7,3,3
"CCA-LDA",8,1,3
"CCA-LDA",9,2,3
"CCA-LDA",10,2,3
"CCA-LDA",11,1,3
"CCA-LDA",12,0,3
"CCA-LDA",13,1,1
"CCA-LDA",14,1,1
"CCA-LDA",15,1,1
"CCA-LDA",16,1,0
"CCA-LDA",17,1,0
"CCA-LDA",18,0,0
"CCA-LDA",19,0,0
"CCA-LDA",20,0,0
"CCA-LDA",21,0,0
"CCA-LDA",22,0,0
"CCA-LDA",23,0,0
"CCA-LDA",24,0,0
"CCA-LDA",25,0,0
"CCA-LDA",26,0,0
"CCA-LDA",27,0,0
"CCA-LDA",28,0,0
"CCA-LDA",29,0,0
"CCA-LDA",30,0,0
"CCA-LDA",31,0,0
"CCA-LDA",32,0,0
"CCA-LDA",33,0,0
"CCA-LDA",34,0,0
"CCA-LDA",35,0,0
"CCA-LDA",36,0,0
"CCA-LDA",37,0,0
"CCA-LDA",38,0,0
"CCA-LDA",39,0,0
"PCA-LDA",2,8,10
"PCA-LDA",3,9,13
"PCA-LDA",4,5,6
"PCA-LDA",5,6,6
"PCA-LDA",6,6,6
"PCA-LDA",7,6,6
"PCA-LDA",8,6,5
"PCA-LDA",9,6,3
"PCA-LDA",10,6,3
"PCA-LDA",11,6,3
"PCA-LDA",12,6,3
"PCA-LDA",13,4,5
"PCA-LDA",14,5,4
"PCA-LDA",15,4,3
"PCA-LDA",16,4,3
"PCA-LDA",17,4,4
"PCA-LDA",18,3,5
"PCA-LDA",19,1,5
"PCA-LDA",20,2,4
"PCA-LDA",21,2,4
"PCA-LDA",22,2,3
"PCA-LDA",23,1,2
"PCA-LDA",24,1,2
"PCA-LDA",25,1,2
"PCA-LDA",26,0,2
"PCA-LDA",27,0,1
"PCA-LDA",28,0,1
"PCA-LDA",29,0,1
"PCA-LDA",30,0,1
"PCA-LDA",31,0,1
"PCA-LDA",32,0,0
"PCA-LDA",33,0,0
"PCA-LDA",34,0,0
"PCA-LDA",35,0,0
"PCA-LDA",36,0,0
"PCA-LDA",37,0,0
"PCA-LDA",38,0,0
"PCA-LDA",39,0,0
